edad,semestre,promedio,origen,genero,horas_estudio,horas_redes,horas_sueño,nivel_estres,participacion_paro,tipo_participacion,descripcion_participacion,sentimientos_paro,postura,sentimientos_finales,postura_final
20,0,,perú,masculino,de 3 a 5 horas diarias 2,de 1 a 3 horas diarias,de 7 a 9 horas diarias,medio,no,otro medio,sin participación ,bien porque mis compañeros exigían sus derechos ,a favor,feliz por regresar a las aulas ,neutra
20,6,7.8,morelos,masculino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,no participe,"no fue posible mi participación en el movimiento, pero estoy a favor que los compañeros puedan intervenir en decisiones a favor de todos, sin embargo las clases en línea no fueron la mejor opción.",a favor,"bien, porque regresaría a clases presenciales.",a favor
21,5,8.5,san salvador huixcolotla,masculino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,,un poco más frustrado dadas las clases en línea ,neutra,"un poco más tranquilo de regresar a clase presenciales, pero más estresado por ponerme al corriente. ",neutra
20,4,8.7,ciudad de méxico ,masculino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,no participe ,"cómodo por qué estaba en mi casa,
pero a la vez me sentía aburrido, por qué extrañaba a mis compañeros.",neutra,"me sentí muy bien, ya que las cosas se arreglaron de la manera más fiable la cual fue el diálogo.",neutra
20,6,9.0,ciudad de puebla ,femenino,de 1 a 3 horas diarias,más de 5 horas diarias,de 7 a 9 horas diarias,bajo,no,otro medio,apoyo verbal ,molesta por los distintas interrupciones e impedimentos para llevar a cabo una buena comunicación y arreglos. triste por las noticias amarillista. decepcionada por la discrimacion económica y social de los estudiantes.,a favor,feliz porque se lograron acuerdos y se propusieron soluciones pero inquieta por las posibles consecuencias que traería la opinion dividida de los  maestros y represalias. estresada por la gran carga escolar que se vendría.,a favor
21,6,8.2,puebla de zaragoza ,masculino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,participe de manera online pero no de manera presencial ,la verdad la principio pensé que estaba bien ya que hay algunas errores en fcc pero con pasar el tiempo no llegaban a nada y pensé que perdían el tiempo ,a favor,pues algunos maestros nos habían comentado sobre que podrías perder el semestre y el que seguía y por eso me angustiaba y pero al final resolvieron el problema de a fuerzas.,neutra
20,6,8.2,puebla,masculino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,de 7 a 9 horas diarias,alto,no,otro medio,no participe,"en lo personal un poco  disgustado ya que las clases en linea no son de mi agrado, y un poco raro por haber cortado de repente parte de mi rutina y todo lo que conlleva, pero se que fue necesario para que las carencias de la universidad sean atendidas",neutra,"senti tranquilidad y  felicidad ya que se habia alargado un poco, y contento por regresar a las actividades, sabiendo que la comunidad estudiantil fue escuchada",neutra
20,6,8.6,huejotzingo ,masculino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,de 5 a 7 horas diarias,alto,no,otro medio,no participe ,"me sentía con la incertidumbre de que tardará todo el semestre, pues las clases eran diferentes y le faltaba interacción con mis demás compañeros. ",neutra,"me senti un poco estresado pues los trabajos se iban acumulando, pero a la vez me sentía bien pues ya podría interactuar mejor con mi alrededor.",neutra
21,4,8.6,puebla,femenino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,no participé ,"me sentía un poco angustiada por la calidad de las clases, ya que estudiar en línea no es eficiente de la misma manera que lo es presencialmente y me preocupaba como me iba a afectar academicamente ",neutra,me sentí aliviada por volver a clases pero un poco en confusión ya que se escucharon muchas opiniones por todas partes,neutra
20,5,,tlaxcala,femenino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio, ,"estuve estresada sinceramente no me gustan las clases en línea ya que les pongo poca atención, aparte se iban super rápido en las clases que si tenía alguna duda pues no se resolvía al 100.",neutra,"me sentí pues aliviada y estresada jajaja ya que bueno ""aliviada"" porque ya las cosas de la universidad en especial las clases ya iban a hacer presenciales pero estresada porque nos empezaron a ""bombardear"" con examenes cuando no en todas las materias entendí",neutra
20,5,8.7,puebla capital,femenino,menos de una hora diaria,de 1 a 3 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,no participe,pues me sentí presionada por las clases pero entendí que era por un buen motivo así que supe sobrellevar todo exitosamente ,a favor,bien pero espero ver cambios en beneficios a la comunidad de la universidad.,a favor
21,7,8.2,puebla ,masculino,menos de una hora diaria,más de 5 horas diarias,de 5 a 7 horas diarias,medio,si,asambleas,,muy bien ya era hora que se expresará las inconformidad de los estudiantes ,a favor,mal porque a pesar de que se hicieron cosas a favor siento que el verdadero problema le hicieron caso omiso ,en contra
21,5,8.2,puebla ,masculino,de 3 a 5 horas diarias 2,de 3 a 5 horas diarias,de 5 a 7 horas diarias,bajo,no,otro medio,entrando a clases en línea ,"pues a la vez bien porque los compañeros luchaban por sus derechos pero también mal porque no le ponía atención a las clases en línea y era muy agotador, prefiero las clases presenciales ",neutra,feliz porque pude regresar a clases presenciales y ya ponía atención a las clases aunque a la vez estuvo mal porque los profesores se atrasaron con exámenes y proyectos ,a favor
20,6,9.3,"puebla, puebla",masculino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 7 a 9 horas diarias,alto,no,otro medio,dinero para víveres ,"fue un sentimiento confuso, apoyaba el movimiento, pero realmente siento que en nuestra facultad se tomo una postura como si estuviéramos en la misma situación que otras facultades y varios admitieron que nuestra situación no ameritaba paro, además, que vi a varios que aun con buenos profesores su rendimiento sigue siendo igual de malo, entonces se podía ver una doble moral, pero de otros se veía justificada su inconformidad ",neutra,"satisfecho, los puntos que a mi de forma individual me interesan, he visto que han sido atendidas, pero en otras todavía estamos a la especulación de si en realidad se tomaran acciones favorables a la comunidad estudiantil. ",neutra
19,4,9.4,ciudad de méxico ,femenino,de 3 a 5 horas diarias 2,de 3 a 5 horas diarias,menos de 5 horas diarias,medio,no,otro medio,no participe,"me sentía más tranquila y tenía más tiempo para hacer tareas y trabajos, sentía que me enfocaba más en clases por qué podía escuchar y ver todo y si no me acordaba de algo, podía ver la grabación de la clase",a favor,"al principio me preocupé, ya que nos dijeron que nos iban a aplicar exámenes cuando acabara el movimiento, pero después dijeron que no lo podían hacer y ya me sentí más tranquila.",neutra
20,5,9.0,tlaxcala,masculino,de 3 a 5 horas diarias 2,de 1 a 3 horas diarias,menos de 5 horas diarias,alto,no,otro medio,no participe,por una parte me gusto que el alumnado estubiera reclamando derechos que nos mereciamos pero por otro lado siento que el moviento no llego a nada ya que gran parte de lo que se pedia se fue diluyendoi ,neutra,"el movimiento estudiantil considero que fue una manera justa de solicitar apoyo a la buap pero ya al final del moviento se noto que los intereses eran otros en un inico yo apoyaba las causar pero despues se fue diluyendo el proposito de la marcha 
",neutra
20,5,8.5,izucar de matamoros ,femenino,de 3 a 5 horas diarias 2,de 1 a 3 horas diarias,de 5 a 7 horas diarias,alto,no,otro medio,no estuve dentro del movimiento pero me estuve informando ,"algo estresante por qué no había clases y en línea no podía concentrarme al 100 por que estaba en mi casa, me sentí de nuevo en pandemia mi metodología de aprendizaje es más presencial ",neutra,algo aliviada por qué pensé que duraría mucho más ,neutra
20,6,8.4,puebla,masculino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 5 a 7 horas diarias,medio,si,asambleas,,"fue un momento interesante. me gustó ver cómo todos nos apoyamos y trabajamos juntos por una causa que nos importaba. en general, fue una experiencia enriquecedora.",a favor,"sentí un gran alivio y satisfacción. haber trabajado juntos fue gratificante. aunque fue desafiante, la sensación de unidad fue muy valiosa.",a favor
21,5,8.9,san juan bautista tuxtepec oaxaca ,femenino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,de 7 a 9 horas diarias,alto,no,otro medio,"considero que no participe, debido a que si estaba al tanto de los acontecimientos ya que estaba de acuerdo con ciertos puntos que exponian los compañeros pero tambien habia puntos en los que no me parecian las cosas que solicitaban ","pues estaba raro porque no había organización, si bien se expresaban inconformidades de parte de los alumnos, los directivos parecía que no prestaban atención o lo tomaban a la ligera ",neutra,como si hubiera sido un receso y después de todo se logrará poco el ser escuchados aunque pues reconociendo el valor que tuvieron los compañeros que se quedaban a luchar por lo que ellos defendían.,neutra
21,6,8.0,puebla,masculino,de 1 a 3 horas diarias,más de 5 horas diarias,de 5 a 7 horas diarias,bajo,no,otro medio,"de manera neutra, continuando con clases virtuales",interesado en saber que sucedería y como sería el proceso de clases virtuales,neutra,"imparcial, solo pensar en volver a la rutina de siempre de antes del movimiento estudiantil",neutra
19,4,9.8,teziutlán ,masculino,de 3 a 5 horas diarias 2,de 1 a 3 horas diarias,de 7 a 9 horas diarias,alto,no,otro medio,"solo visualicé los medios en internet desde donde se realizaban asambleas y ciertas mesas de diálogo oficiales, debido a que no tenía permiso para salir de mi casa de donde soy originario","me sentí preocupado por cómo terminaría el semestre y mi continuidad escolar, pero a la vez sentí que antes del paro, la situación estaba estallando de por sí. todos los días nos las pasábamos quejándonos entre compañeros sobre las deficiencias que habían, así que, a la vez este paro fue un punto de inflexión para tratar de que se puedan solucionar los problemas de la universidad. había pretenciones buenas... y malas, como suele ser en un paro de este tipo en méxico, desafortunadamente.",neutra,"me sentí... extraño. porque el regreso a clases fue demasiado repentino! me avisaron de un día a otro, a las 10pm, un sábado!
e incluso pude enterarme que en parte rompieron acuerdos hechos entre estudiantes y algunos administrativos. al final se solucionó ligeramente, pero parte del daño ya estaba hecho. y eso muestra algunas cosas negativas de la administración de la universidad, que podrían solucionarse con un mejor acuerdo, un mayor respeto tanto de estudiantes como de administrativos, a los acuerdos hechos, y además, una mayor sensibilidad a la situación en general de la universidad.",neutra
20,4,8.82,puebla,femenino,de 3 a 5 horas diarias 2,de 1 a 3 horas diarias,de 7 a 9 horas diarias,alto,no,otro medio,"estuve atenta con la información que se iba dando, tanto en redes sociales, como en las noticias.",estaba preocupada por la situación que está sucedió en la universidad así mismo por las clases ya que no se sabía si íbamos a regresar a clases como nos iban a calificar ,neutra,estuve más tranquila ya que habia solución tanto en la universidad como en las materias que estaba cursando y que todo poco a poco se está solucionando.,neutra
21,4,8.0,puebla ,masculino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,de 5 a 7 horas diarias,alto,si,otro medio,apoyando a conocidos que iban al evento ,"fue un periodo de confusión por no saber que estaba pasado en la ciudad universitaria y pensando que consecuencias que podría traer este paro en mi calificación además que todas la actividades faltantes se juntaría para un solo mes del semestre ,pensé que esto sería mucho estrés ",neutra,intriga de como se va a proceder en cuestión de todas las actividades faltantes para tener una buena calificación y que iba cambiar en el ambiente universitario ,neutra
21,5,9.7,puebla,masculino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 7 a 9 horas diarias,medio,no,otro medio,"no participe,","me gusto, es necesario expresarse y abrir la voz para que las autoridades hagan algio.",a favor,"la vrd me gustaba estar en paro, porque de cierta forma la carrera no es necesario acudir a las aulas para seguir aprendiendo.",a favor
19,0,8.0,"peru, cusco ",femenino,más de 5 horas diarias,de 1 a 3 horas diarias,de 5 a 7 horas diarias,alto,no,otro medio,no participe,"pues algunas facultades si tenían razón en sus demandas, pero otras solo querían obtener más cosas
por otro lado creo que fue más larga de lo realmente debió ser",neutra,"un poco aliviada porque ya no tendrías que perder clases
porque aunque avanzamos en virtual obviamente no es lo mismo",neutra
21,8,8.4,puebla,masculino,menos de una hora diaria,de 1 a 3 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,"no activamente, solo trataba de mantenerme informado y asistir virtualmente a las mesas de dialogo","en general bien, por factores externos a mi, no pude asistir presencialmente al paro, pero trataba de estar virtualmente en lo que se pudiera y difundir información importante",a favor,"creo que fue un poco apurado el termino del paro, había bastantes cosas a las cuales todavía no se daba respuesta ni atención ",a favor
24,6,9.7,"zacapoaxtla, puebla",femenino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,de 5 a 7 horas diarias,alto,no,otro medio,no participé ,"me sentí confundida, habian muchas opiniones, distinta información.",neutra,"la verdad me preocupaban más las clases, debido a que tengo materias estrictas, por lo que me sentí estresada cuando terminó.",a favor
20,6,9.2,izúcar de matamoros puebla,femenino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 5 a 7 horas diarias,alto,no,otro medio,no considero haber sido participe activa puesto que solo me uní al paro pero no me sume de manera interna,"ciertamente mi primer sentir fue de frustración, me preocupaba lo que se podría lograr o lo que provocaría nuestro movimiento.",neutra,"más tranquila, un tanto satisfecha y también presionada al subir el ritmo de entregas y trabajo a causa del retraso que originó el paro.",a favor
21,6,96.0,hidalgo,femenino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 5 a 7 horas diarias,alto,si,otro medio,compartiendo información. ,"preocupada porque no sabía que iba a pasar con mis compañeros, además de que en un principio no había información o una base donde emitía información oficial. ",a favor,"bien porque regresaríamos a lo presencial, pero también con incertidumbre si lo que se había manejado en las asambleas iba a continuar. ",a favor
20,6,9.7,san martin texmelucan ,femenino,menos de una hora diaria,de 3 a 5 horas diarias,de 5 a 7 horas diarias,alto,no,otro medio,manteniendome informado sobre los acuerdos a los que se llegaban y siguiendo las mesas de diálogo vía facebook live,relajada por no tener que viajar a la facultad pero abrumada por tanta información y opiniones divididas entres los estudiantes.,neutra,triste por volver a viajar y molesta por la actitud de los chicos paristas y sus maneras de contestar.,neutra
21,8,9.48,"puebla, méxico",femenino,de 1 a 3 horas diarias,más de 5 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,"no participé directamente. una que otra ocasión difundí información sobre el paro por redes sociales, nada más.","debido a que no participé directamente en el movimiento, y la única manera de enterarme de todo lo que pasaba era por medio de redes sociales, todo el tiempo que duró el paro me sentí aturdida por la diversa información. entre el grupo de la facultad en facebook, los grupos de difusión en whatsapp, stories en instagram e incluso las menciones en el radio, tantos puntos de vista, tan diferentes uno de otro, me generaron la sensación de desconfianza o estar perdida, aun y cuando soy parte de la comunidad estudiantil. ",a favor,"sentí alivio porque tenía varios trámites pendientes que realizar y que se atrasaron por el paro, pero por otro lado, sentí desilusión de que un movimiento tan grande se calmara con tan pobres acciones por parte de la universidad. un sentimiento de ""¿valió la pena?"".",neutra
23,0,8.9,puebla,masculino,menos de una hora diaria,de 1 a 3 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,no participe ,"con ganas de ya volver a la escuela, rompió mi rutina ",neutra,"al concluir el movimiento estudiantil me sentí neutral, ya que personalmente no tenía mayores inconformidades con la facultad. sin embargo, entendí que para muchas personas era necesario alzar la voz, y si el resultado fue para mejorar las condiciones, entonces me parece positivo.",neutra
22,7,9.4,"puebla, puebla ",femenino,de 3 a 5 horas diarias 2,más de 5 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,no participé ,"en muchas ocaciones no sentí que me representa el movimiento, sentí que los propósitos no estában muy bien estructurados y aunque apoyaba sus razones y las comprendía no me sentía parte de ellos ",neutra,"en lo personal frustrada, puesto que a pesar de que concluyó el paro, autoservicios no funcionaba y no pude hacer mi proceso de registro para las prácticas y servicio social ",neutra
20,6,9.7,puebla,femenino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 5 a 7 horas diarias,alto,si,asambleas,,"con mucha angustia, incertidumbre de toda la información que circulaba y que no sabía si era verdad o no",neutra,decepcionada y molesta por muchas cosas que sucedieron durante el paro,neutra
24,6,9.7,zacapoaxtla ,femenino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,de 5 a 7 horas diarias,alto,no,otro medio,"no participé, solo vi las transmisiones de las mesas de dialogo ","confundida, desconocía muchas razones del paro de la facultad, pero investigue y cambio mi perspectiva",neutra,"me sentí contenta porque abría cambios para bien. sin embargo eso también nos afecto en la materia, puesto que profesores no lo tomaron en cuenta y nos retrasó. ",neutra
22,6,8.8,puebla. ,masculino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,"la verdad es que no participé de manera activa. principalmente me informaba en canales de difusión, grupos y con compañeros. ","al inicio me parecía un poco irrelevante o no hallaba las raíces de cómo surgió. después de recabar información y comprender el contexto me pareció muy loable las acciones de mis compañeros. me sentía frustrado de no poder regresar a la normalidad y de que las autoridades (en especial la rectora) tuviera una actitud tan impotente, irrespetuosa y desinteresada del movimiento. ",a favor,"pienso que el movimiento aún no concluye. el regresar a clases creo que fue el inicio de la transformación, ya que, al menos en mi facultad ya comenzaron las remodelaciones, etc. pero aún existen mesas de diálogo y otros elementos que indican que el movimiento aún sigue. ",a favor
21,6,9.3,"san gabriel tetzoyocan, yehualtepec, puebla ",femenino,más de 5 horas diarias,de 3 a 5 horas diarias,de 5 a 7 horas diarias,alto,si,asambleas,,"me sentí un poco estresada porque cuando asistía a las asambleas veía que eran muy pocos los estudiantes que se unieron, además me frustraban las noticias que beneficiaban a la rectora, cuando ella no ponía atención.",a favor,"la verdad sentí que fué muy poco tiempo, que fueron pocos los cambios y que la buap manipuló mucho con la convocatoria 2025, eso me hizo sentirme triste de pertenecer a institución que no busca calidad, si no cantidad.",neutra
21,6,8.7,"puebla, puebla",femenino,de 3 a 5 horas diarias 2,de 3 a 5 horas diarias,de 7 a 9 horas diarias,medio,si,otro medio,"difundiendo la información en redes sociales, así como participando en el paro virtual y presencial de las clases en línea, dando lectura al pliego petitorio y apoyando a mis compañeros de guardias con alimentos ","la verdad es que en una combinación de orgullo, impotencia y seguridad de tener compañeros tan competentes y dispuestos a luchar y defender mejores oportunidades para todas las generaciones ",a favor,muy a gusto al darme cuenta de que somos nosotros los que tenemos que luchar por mejores oportunidades y que es posible llegar a acuerdos desde un lugar respetuoso de ambas partes ,a favor
22,6,8.5,xalapa,femenino,de 3 a 5 horas diarias 2,de 3 a 5 horas diarias,de 5 a 7 horas diarias,alto,si,todas las anteriores,,"me sentí a gusto, sumamente estresada y constantemente expuesta pero segura de que lo que hacíamos y cómo lo hacíamos era lo correcto.",a favor,"muy a gusto, con mucha confianza respecto a mis capacidades y con ganas de probar nuevos retos que me lleven a medirme más y más.",a favor
20,6,8.8,puebla,femenino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,menos de 5 horas diarias,alto,si,asambleas,,"al inicio sentí que debía estar ahí porque tenía un compromiso con mis compañeros y mi facultad, pero después sentí que realmente quería que se lograra un cambio.",neutra,"me sentí satisfecha al concluirlo muy rápido a diferencia de otras facultades, pero sentí que incluso podía terminar antes.",a favor
21,6,8.7,puebla ,femenino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,informándome sobre las decisiones que se tomaban y hacía que dirección nos llevaban con esas acciones ,"me sentí impotente respecto a las situaciones que algunas facultades tenían, sentí coraje por ver como nuestras autoridades reaccionaban al movimiento, incluso la respuesta de algunos compañeros y su accionar que aveces no era lo mejor. ",neutra," sentí que algunas peticiones no fueron resueltas y que aún había muchas cosas por mejorar, por los dos lados, porque los estudiantes también necesitaban mejorar en organización, para que las voces de las personas fueran escuchadas ",neutra
21,8,8.5,"teziutlán, puebla",masculino,de 3 a 5 horas diarias 2,de 1 a 3 horas diarias,de 5 a 7 horas diarias,alto,si,asambleas,,"al principio fue emocionante el atreverse a expresar las inconformidades que hay con respecto a la facultad y universidad en general, sin embargo surgió la duda si estaba tomando las decisiones correctas y si mi opinión tenía una postura adecuada",a favor,"me agradó ver que algunas peticiones se estaban cumpliendo y el compromiso de que otras estuvieran trabajándose, sin embargo existió una sensación de duda sobre si se había hecho la elección adecuada",neutra
21,8,9.0,puebla,masculino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 7 a 9 horas diarias,medio,no,otro medio,no participe de ninguna manera ,"un poco confundido, ya que si bien entiendo el paro realizado en mi facultad en parte fue para apoyar a los demás compañeros de otras facultades como artes, y sobre todo ciudad universitaria, no veía en claro que exigencias podríamos tener nosotros como facultad para exigir con tanta presión. tal vez sea por mi desinterés pero de verdad no he notado situaciones tan importantes o cruciales como para haber entrado en paro.",neutra,"confuso, ya que no sabíamos cómo se iban a calificar las actividades, en sí vuelvo a lo mismo. no había tanta necesidad de hacer revuelto en el caso de mi facultad, siento que todo permanece igual. ",neutra
21,6,9.4,san martín texmelucan puebla,femenino,de 3 a 5 horas diarias 2,de 3 a 5 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,"mediante el programa de radio vía facebook en mi comunidad, brindaba informes de como iba avanzando en movimiento en las diferentes facultades de la universidad. con el objetivo de informar a la gente el porque era de índole de interés público lo que pasaba en buap y la necesidad de empatía por parte de la ciudadanía. ","me sentí fuerte por saber que existía compañeros interesados por defender el bien común de los compañeros, sin embargo el pliego petitorio de mi comunidad estudiantil considero que era un tanto deficiente en algunos aspectos y si hubiera existido mayor organización y descentralización de liderazgo, comunicación y estrategia, pudimos generar un cambio aún mayor dentro de la unidad académica. ",a favor,"me sentí feliz de ver cambios por la parte estética de mi unidad académica, sin embargo considero que la actitud de la directora de la carrera fue por un momento considerada y ""empática"" pero pasando el movimiento regreso a la normalidad. principalmente mi disgusto es la actitud que tuvieron hacía el cuerpo académico de profesores ya que los remitieron demasiado a externar su opinión cuando también son parte de las problemáticas que vivimos en la facultad.",a favor
20,6,9.4,"puebla, puebla",femenino,menos de una hora diaria,de 1 a 3 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,no participe.,"sentí un poco de incertidumbre con respecto a lo que iba a pasar, de cómo estaban mis amigos que participaban y sobre las decisiones que se iban a tomar.",neutra,me sentía agradecido con mis compañeros que participaron y emocionado para ver las mejoras negociadas y un poco indignado por algunas cosas que sucedieron durante el movimiento.,a favor
22,6,8.8,guadalupe victoria puebla,femenino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,,medio,si,todas las anteriores,,me senti muy impotente y con mucha frustracion al ver a que punto teniamos que llegar para poder ser escuchados y visibilizados con cosas que por derecho son necesarias para tener una educacion digna y certera,a favor,"me sentí pues satisfecha de que logramos ser escuchados, aunque sabía que faltaba mucho camino por recorrer ",a favor
24,7,8.1,puebla ,masculino,de 1 a 3 horas diarias,más de 5 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,redes sociales ,con un poco de incertidumbre por lo que en ese momento preferí enfocarme en otras cosas que también eran importantes como mi trabajo y servicio.,neutra,abrumado por tener que volver a cambiar mi ritmo de rutina para darle prioridad de nuevo a las clases presenciales.,neutra
20,6,8.7,puebla,masculino,de 3 a 5 horas diarias 2,más de 5 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,"no participe como tal yendo a la facultad, haciendo guardia o estando en la creación del pliego petitorio, entre otros, sin embargo siempre estuve informado con lo que pasaba y lo que proponían en la facultad mediante los informes y en vivos de mis compañeros en la página de la facultad","me sentí preocupado y a su vez estresado por saber que iba a pasar con mi facultad, de no saber si nos iban a hacer caso a nuestras necesidades y de saber si perdíamos el semestre, a su vez el estar tanto tiempo en línea me hizo sentir inquieto porque me recordó a la pandemia",a favor,sentí más alivio de saber que ya por fin se logró a un acuerdo y de ver qué empezaron a realizar las necesidades que pedíamos sin alguna consecuencia por parte de algún maestro o directivo,a favor
